


.DATE		08 ? 92
.STYLE		CURSIVE
.WRITER_ID	hykim
	42 8
	42 5
	43 2
	46 0
	48 3
	50 6
	52 9
	53 12
	55 16
	56 20
	58 25
	59 28
	60 31
	62 34
	63 31
	63 28
	63 25
	63 22
	63 18
	63 13
	64 10
	69 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	20 17
	22 14
	23 11
	23 7
	25 4
	26 1
	29 3
	31 6
	33 9
	35 12
	36 15
	39 12
	39 9
	39 6
	40 3
	42 0
	45 0
	49 0
	54 3
	56 6
	59 8
	59 11
	59 14
	59 17
	58 21
	56 24
	56 27
.PEN_UP
.PEN_DOWN
	9 30
	13 31
	17 31
	21 29
	23 26
	23 23
	23 20
	23 16
	25 13
	28 10
	31 9
	36 9
	41 9
	45 9
	48 8
	51 8
.PEN_UP
.PEN_DOWN
	38 36
	36 33
	34 30
	30 26
	29 23
	26 19
	23 16
	22 12
	21 9
	18 0
.PEN_UP
.PEN_DOWN
	28 70
	29 73
	32 74
	35 76
	39 78
	41 75
	40 72
	40 67
	40 63
	40 60
	43 58
	46 58
	49 59
	52 61
	54 64
	55 68
	56 72
	57 75
	57 78
	56 75
	55 71
	55 68
	55 64
	55 61
	56 58
	56 55
	56 50
	56 47
	56 43
	58 40
	58 37
	58 32
	58 26
	57 21
	57 18
	57 14
	56 10
	56 7
	56 3
	56 0
	53 0
	51 3
	48 6
	47 10
	45 15
	41 18
	38 21
	38 24
	36 28
	36 31
	37 35
	39 38
	41 41
	45 45
	50 45
.PEN_UP
.PEN_DOWN
	21 15
	26 15
	30 16
	33 17
	37 17
	40 18
	43 18
	43 15
	40 13
	37 11
	34 8
	30 5
	27 2
	31 0
	34 0
	37 0
	40 1
	44 2
	49 2
	52 2
	55 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 22
	24 23
	27 23
	30 24
	34 27
	37 28
	38 31
	41 33
	42 36
	43 39
	45 43
	46 48
	47 51
	47 54
	48 57
	48 61
	48 65
	48 69
	48 72
	45 71
	42 68
	41 65
	38 63
	38 60
	36 57
	34 54
	32 50
	30 45
	29 40
	28 37
	25 35
	25 32
	23 26
	22 23
	22 20
	21 16
	20 13
	20 9
	21 6
	22 3
	25 0
	28 0
	31 2
	35 4
	36 7
	37 10
	39 15
	39 18
	39 21
	34 21
	30 22
	27 22
	24 22
	27 20
	30 20
	34 19
	37 19
	40 19
	45 19
	49 19
.PEN_UP
.PEN_DOWN
	48 21
	45 23
	42 23
	39 22
	33 19
	30 17
	28 14
	26 11
	26 8
	28 5
	32 2
	37 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 46
	40 48
	44 51
	47 53
	48 57
	50 61
	53 65
	53 69
	54 72
	55 76
	56 80
	58 83
	58 87
	59 90
	59 93
	58 96
	58 99
	55 97
	53 94
	51 91
	49 88
	47 85
	45 81
	43 75
	42 69
	41 66
	41 63
	40 59
	39 56
	39 52
	38 49
	36 46
	35 42
	34 33
	32 30
	31 27
	31 23
	31 18
	31 14
	32 9
	36 3
	38 0
	41 0
	44 0
	47 2
	47 5
	50 6
	50 9
	50 12
	50 15
	50 20
	49 24
	48 30
	46 33
	43 36
	39 38
	43 40
	46 40
	49 41
	52 42
	57 43
	62 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	34 0
	37 3
	40 6
	41 10
	43 13
	45 16
	47 21
	47 25
	47 28
	47 32
	44 32
	42 28
	42 25
	42 22
	42 19
	42 16
	42 12
	44 8
	46 5
	49 4
	52 4
	55 4
	56 4
.PEN_UP
.PEN_DOWN
	43 49
	46 49
	49 49
.PEN_UP
.PEN_DOWN
	28 39
	30 42
	33 44
	35 47
	38 48
	41 50
	44 55
	46 58
	47 62
	47 65
	44 65
	42 62
	40 58
	39 54
	39 48
	39 44
	39 41
	40 36
	40 32
	41 27
	42 23
	42 19
	42 16
	42 12
	40 9
	38 6
	33 3
	30 0
	27 0
	25 3
.PEN_UP
.PEN_DOWN
	30 82
	34 80
	37 80
	42 78
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	20 3
	25 5
	29 8
	32 9
	35 11
	38 13
	41 15
	46 18
	49 20
	53 25
	55 30
	58 35
	59 40
	60 43
	60 50
	59 54
	59 59
	59 62
	58 65
	55 66
	51 62
	51 59
	48 55
	44 50
	44 47
	42 43
	40 40
	39 36
	38 32
	38 28
	36 25
	35 22
	35 18
	35 14
	38 9
	38 6
	39 3
	45 0
.PEN_UP
.PEN_DOWN
	7 20
	7 23
	9 26
	10 30
	15 34
	19 38
	25 41
	28 41
	32 39
	33 36
	34 30
	34 26
	33 22
	30 18
	28 15
	25 12
	25 9
	26 12
	29 14
	31 18
	35 22
	38 26
	41 29
	43 26
	43 22
	42 18
	42 15
	40 11
	39 8
	36 5
	35 2
	36 5
	37 8
	39 11
	41 14
	43 18
	47 21
	47 24
	50 27
	53 29
	55 26
	55 22
	54 18
	51 13
	51 9
	49 5
	49 2
	56 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	62 50
	59 51
	55 51
	52 50
	49 50
	46 49
	43 49
	38 47
	35 45
	32 42
	31 39
	35 38
	40 38
	43 38
	46 40
	50 41
	54 43
	56 46
	53 47
	52 44
	51 41
	49 37
	48 33
	47 30
	46 26
	45 20
	45 16
	45 13
	45 9
	45 5
	50 1
	53 0
	56 0
	58 3
	58 6
	57 10
	56 14
	53 18
	52 21
	51 25
	48 26
	51 28
	54 29
	58 31
	64 31
.PEN_UP
.PEN_DOWN
	24 1
	27 3
	30 5
	31 9
	33 12
	34 15
	34 19
	37 21
	40 21
	43 21
	46 21
	49 21
	52 21
	49 20
	47 16
	45 12
	43 9
	43 6
	43 3
	46 1
	49 0
	50 0
.PEN_UP
.PEN_DOWN
	18 0
	22 3
	26 6
	28 9
	31 10
	33 14
	35 17
	36 20
	35 23
	33 26
	34 23
	36 20
	39 18
	42 16
	44 13
	48 10
	49 7
	48 4
	45 3
	42 3
	39 3
	36 3
	33 4
	32 7
	36 7
	40 7
	43 7
	46 6
	49 6
	52 4
	56 2
	58 2
.PEN_UP
.PEN_DOWN
	31 1
	34 3
	37 5
	40 7
	43 10
	47 14
	49 18
	52 21
	52 25
	54 30
	54 33
	54 39
	54 42
	54 39
	52 34
	52 29
	52 26
	50 23
	49 18
	49 15
	49 12
	49 8
	49 4
	49 1
	52 0
	55 0
	59 0
	63 0
.PEN_UP
.PEN_DOWN
	35 23
	39 23
	42 24
	45 24
	48 25
	52 25
	60 26
	63 26
	66 26
	71 26
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 25
	17 22
	19 19
	19 16
	20 13
	21 9
	21 6
	21 3
	24 0
	27 1
	27 4
	29 7
	29 11
	30 15
	30 18
	31 21
	32 18
	33 15
	34 11
	36 8
	40 5
	43 5
	46 7
	49 10
	51 13
	51 16
	52 20
	52 23
	50 26
	49 29
	52 28
	55 27
	60 26
.PEN_UP
.PEN_DOWN
	23 33
	26 34
	29 34
	33 33
	35 30
	36 26
	38 19
	39 14
	41 10
	43 6
	47 4
	51 3
	54 3
	58 4
	61 6
.PEN_UP
.PEN_DOWN
	48 31
	47 28
	45 24
	42 19
	39 18
	39 15
	37 12
	33 9
	32 6
	28 0
.PEN_UP
.PEN_DOWN
	30 67
	32 70
	35 71
	38 71
	41 72
	44 72
	44 67
	44 62
	43 59
	43 56
	43 53
	46 50
	49 50
	52 50
	55 50
	58 52
	60 55
	60 58
	60 61
	60 65
	59 68
	56 66
	55 63
	54 59
	54 56
	54 52
	54 48
	54 43
	54 40
	54 35
	55 32
	55 29
	55 24
	55 21
	55 16
	55 13
	56 8
	58 3
	59 0
	55 3
	52 6
	49 10
	45 15
	44 18
	40 22
	37 25
	34 29
	32 32
	33 36
	37 39
	40 43
	43 44
	49 48
	56 51
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
